"participant","accuracy","rt","item","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","exclude"
767115399,0,3987,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,490,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,332,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,405,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,369,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,479,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,490,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,380,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,562,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,689,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,483,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,613,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,554,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,625,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,365,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,796,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,570,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,592,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,678,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,745,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,800,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,597,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
830748203,1,1080,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,480,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,442,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,586,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,424,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,445,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,426,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,922,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,1444,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,412,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,515,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,517,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,560,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,374,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,824,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,508,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,481,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,541,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,360,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,867,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,980,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,324,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,1614,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,350,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,303,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,1370,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,245,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,254,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,243,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,379,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,504,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,433,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,473,"primeRace","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
830748203,1,365,"primeNeutral","Race IAT","congruent","SCIAT first","female",46,13,"Both white and black faces",FALSE,FALSE
