"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","percentage.Hit","percentage.FA","d","c","shooter_mean_RT","shooter_perc_acc","modern_racism_scale_total"
819540299,3,"Race IAT","congruent","SCIAT first","male",35,7,0.385,1084,0.95,FALSE,0.816,0.286,1.465,-0.167,679,0.77,13
827785702,6,"Flowers-Insects IAT","incongruent","ratings first","female",24,4,1.08,711,0.98,FALSE,0.975,0.006,4.458,0.269,631,0.99,17
832682047,7,"Flowers-Insects IAT","congruent","SCIAT first","female",30,3,0.158,781,0.98,FALSE,0.784,0.205,1.608,0.019,592,0.79,15
833121121,1,"Race IAT","congruent","ratings first","female",28,4.67,0.822,756,0.98,FALSE,0.949,0.056,3.226,-0.02,631,0.95,18
837260989,5,"Flowers-Insects IAT","congruent","ratings first","female",31,4,0.963,662,0.93,FALSE,0.825,0.237,1.651,-0.109,545,0.79,22
842849993,1,"Race IAT","congruent","ratings first","female",47,4,0.19,1013,1,FALSE,0.875,0.333,1.581,-0.36,612,0.77,16
850004642,2,"Race IAT","incongruent","ratings first","female",35,4.17,0.21,883,0.98,FALSE,0.974,0.081,3.336,-0.27,635,0.95,13
852697087,7,"Flowers-Insects IAT","congruent","SCIAT first","male",35,4.17,0.768,706,0.94,FALSE,0.949,0.05,3.277,0.006,628,0.95,13
854086011,3,"Race IAT","congruent","SCIAT first","female",29,4.33,-0.585,787,0.93,FALSE,0.795,0.088,2.175,0.264,665,0.85,16
855686521,1,"Race IAT","congruent","ratings first","female",31,4.17,0.203,886,0.91,FALSE,0.943,0.083,2.962,-0.098,696,0.93,18
857298266,2,"Race IAT","incongruent","ratings first","male",39,4,0.529,938,0.93,FALSE,0.006,0.006,0,2.498,390,0.75,18
862429627,3,"Race IAT","congruent","SCIAT first","male",61,4,0.607,1152,0.98,FALSE,0.8,0.053,2.461,0.389,656,0.87,20
862519812,4,"Race IAT","incongruent","SCIAT first","female",20,4,0.523,772,0.93,FALSE,0.9,0.026,3.231,0.334,648,0.94,16
862861193,1,"Race IAT","congruent","ratings first","female",50,4.83,0.645,777,0.96,FALSE,0.821,0.154,1.937,0.051,588,0.83,11
867948927,7,"Flowers-Insects IAT","congruent","SCIAT first","female",48,6,1.172,882,0.97,FALSE,0.974,0.057,3.517,-0.179,665,0.96,15
868001054,6,"Flowers-Insects IAT","incongruent","ratings first","female",22,4.17,0.964,794,0.75,FALSE,0.923,0.026,3.375,0.262,635,0.95,15
884258753,1,"Race IAT","congruent","ratings first","31",31,6,0.811,1197,0.85,FALSE,0.943,0.176,2.508,-0.325,712,0.88,10
896106144,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",32,1,0.518,773,0.83,FALSE,0.9,0.128,2.416,-0.073,599,0.89,23
896250499,3,"Race IAT","congruent","SCIAT first","female",42,4,0.426,926,0.98,FALSE,0.789,0.184,1.704,0.047,562,0.8,18
900241257,1,"Race IAT","congruent","ratings first","female",24,4,0.741,1000,0.96,FALSE,0.765,0.179,1.642,0.1,663,0.79,11
906784166,6,"Flowers-Insects IAT","incongruent","ratings first","female",47,4,1.061,799,0.97,FALSE,0.744,0.054,2.261,0.476,662,0.84,15
