"subject","trialcode","values.itemnumber","correct","values.result","latency","Item","gun","Ethnicity","date","age_response","sex_response"
2,"ObjectBlack",10,1,"CR",810,"bg10c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",14,1,"Hit",647,"bg14b","Gun","White",102015,21,"männlich"
2,"ObjectBlack",14,1,"CR",659,"bg14c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",3,1,"Hit",502,"bg03d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",17,1,"CR",830,"bg17c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",10,1,"Hit",638,"bg10d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",15,1,"Hit",504,"bg15b","Gun","White",102015,21,"männlich"
2,"ObjectWhite",18,1,"CR",656,"bg18a","Object","White",102015,21,"männlich"
2,"ObjectWhite",15,1,"CR",561,"bg15a","Object","White",102015,21,"männlich"
2,"GunWhite",8,1,"Hit",468,"bg08b","Gun","White",102015,21,"männlich"
2,"GunBlack",13,1,"Hit",517,"bg13d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",9,1,"Hit",476,"bg09b","Gun","White",102015,21,"männlich"
2,"GunBlack",20,1,"Hit",560,"bg20d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",15,1,"Hit",527,"bg15d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",16,1,"CR",707,"bg16a","Object","White",102015,21,"männlich"
2,"ObjectWhite",11,1,"CR",598,"bg11a","Object","White",102015,21,"männlich"
2,"GunWhite",16,1,"Hit",468,"bg16b","Gun","White",102015,21,"männlich"
2,"GunBlack",4,1,"Hit",504,"bg04d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",19,1,"CR",669,"bg19c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",9,1,"Hit",515,"bg09d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",10,1,"CR",720,"bg10a","Object","White",102015,21,"männlich"
2,"GunWhite",12,1,"Hit",660,"bg12b","Gun","White",102015,21,"männlich"
2,"ObjectBlack",15,1,"CR",542,"bg15c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",3,1,"CR",684,"bg03c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",13,1,"Hit",578,"bg13b","Gun","White",102015,21,"männlich"
2,"ObjectBlack",20,1,"CR",608,"bg20c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",12,1,"CR",674,"bg12c","Object","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",9,1,"CR",591,"bg09a","Object","White",102015,21,"männlich"
2,"ObjectWhite",2,1,"CR",573,"bg02a","Object","White",102015,21,"männlich"
2,"ObjectWhite",17,1,"CR",585,"bg17a","Object","White",102015,21,"männlich"
2,"ObjectWhite",3,1,"CR",529,"bg03a","Object","White",102015,21,"männlich"
2,"GunBlack",11,1,"Hit",490,"bg11d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",2,1,"CR",556,"bg02c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",7,1,"Hit",751,"bg07b","Gun","White",102015,21,"männlich"
2,"ObjectWhite",7,1,"CR",641,"bg07a","Object","White",102015,21,"männlich"
2,"ObjectBlack",6,1,"CR",716,"bg06c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",6,1,"Hit",539,"bg06d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",17,1,"Hit",545,"bg17b","Gun","White",102015,21,"männlich"
2,"GunWhite",2,1,"Hit",645,"bg02b","Gun","White",102015,21,"männlich"
2,"ObjectWhite",4,1,"CR",692,"bg04a","Object","White",102015,21,"männlich"
2,"GunWhite",11,1,"Hit",469,"bg11b","Gun","White",102015,21,"männlich"
2,"GunBlack",18,1,"Hit",513,"bg18d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectWhite",19,1,"CR",621,"bg19a","Object","White",102015,21,"männlich"
2,"ObjectWhite",6,1,"CR",707,"bg06a","Object","White",102015,21,"männlich"
2,"GunBlack",1,1,"Hit",515,"bg01d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",2,1,"Hit",700,"bg02d","Gun","Arab-Muslim",102015,21,"männlich"
2,"ObjectBlack",7,1,"CR",622,"bg07c","Object","Arab-Muslim",102015,21,"männlich"
2,"GunBlack",8,1,"Hit",523,"bg08d","Gun","Arab-Muslim",102015,21,"männlich"
2,"GunWhite",18,1,"Hit",688,"bg18b","Gun","White",102015,21,"männlich"
