"participant","block","trial_n","rt","accuracy","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
104,"incompatible",24,642,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",25,550,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",26,657,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",27,503,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",28,570,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",29,636,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",30,614,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",31,590,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",32,435,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",33,613,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",34,516,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",35,451,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",36,429,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",37,498,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",38,432,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",39,719,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",40,675,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",41,572,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",42,494,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",43,448,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",44,551,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",45,468,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",46,517,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",47,551,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
104,"incompatible",48,472,1,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
