"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
163,TRUE,"Only black faces","male",38,16,4.5,980,0.9,FALSE,376,0.61,0.6,0.62,0.02,FALSE,3,"Race IAT","congruent","SCIAT first"
165,TRUE,"Only black faces","male",31,13,4.17,874,0.98,FALSE,601,0.79,0.68,0.9,0.22,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
173,TRUE,"I don't know","female",48,19,4.67,640,0.96,FALSE,832,0.81,0.88,0.74,-0.14,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
175,TRUE,"I don't know","male",35,16,4.5,655,0.98,FALSE,689,0.48,0.6,0.36,-0.24,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
176,TRUE,"Only black faces","female",19,21,4,782,0.97,FALSE,666,0.52,0.56,0.48,-0.0800000000000001,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
179,TRUE,"Only black faces","female",48,26,6,745,0.98,FALSE,567,0.37,0.32,0.42,0.1,FALSE,3,"Race IAT","congruent","SCIAT first"
180,TRUE,"Both white and black faces","male",32,14,4,804,0.83,FALSE,180,0.5,0.44,0.56,0.12,FALSE,4,"Race IAT","incongruent","SCIAT first"
181,TRUE,"I don't know","female",44,12,4.17,1336,0.99,FALSE,642,0.81,0.84,0.78,-0.0599999999999999,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
185,TRUE,"Only black faces","female",34,20,4,895,0.92,FALSE,581,0.87,0.88,0.86,-0.02,FALSE,1,"Race IAT","congruent","ratings first"
188,TRUE,"Only black faces","female",39,12,5,714,1,FALSE,427,0.87,0.9,0.84,-0.0600000000000001,FALSE,4,"Race IAT","incongruent","SCIAT first"
193,TRUE,"Both white and black faces","male",53,20,4.67,769,1,FALSE,656,0.73,0.8,0.66,-0.14,FALSE,1,"Race IAT","congruent","ratings first"
194,TRUE,"Only black faces","male",48,24,4,708,0.99,FALSE,513,0.84,0.84,0.84,0,FALSE,2,"Race IAT","incongruent","ratings first"
196,TRUE,"Only black faces","male",27,18,4,807,0.97,FALSE,372,0.98,0.96,1,0.04,FALSE,4,"Race IAT","incongruent","SCIAT first"
197,TRUE,"Only black faces","female",53,12,4.17,880,0.98,FALSE,831,0.68,0.72,0.64,-0.08,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
199,TRUE,"Only black faces","female",44,17,4.5,938,0.97,FALSE,450,0.54,0.64,0.44,-0.2,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
201,TRUE,"Only black faces","male",18,15,7,996,0.87,FALSE,423,0.73,0.72,0.74,0.02,FALSE,1,"Race IAT","congruent","ratings first"
204,TRUE,"I don't know","male",61,30,4,776,0.95,FALSE,613,0.43,0.4,0.46,0.06,FALSE,4,"Race IAT","incongruent","SCIAT first"
208,TRUE,"Only black faces","male",35,20,4,682,0.93,FALSE,839,0.63,0.6,0.66,0.0600000000000001,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
210,TRUE,"Both white and black faces","male",22,14,4.83,910,0.98,FALSE,530,0.88,0.98,0.78,-0.2,FALSE,2,"Race IAT","incongruent","ratings first"
212,TRUE,"Only black faces","male",40,12,4,767,0.84,FALSE,385,0.94,0.94,0.94,0,FALSE,4,"Race IAT","incongruent","SCIAT first"
214,TRUE,"Only black faces","male ",29,17,5.17,705,0.94,FALSE,578,0.6,0.58,0.62,0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
215,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,7,"Flowers-Insects IAT","congruent","SCIAT first"
216,TRUE,"Both white and black faces","female",40,17,5.17,835,0.88,FALSE,536,0.78,0.76,0.8,0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
217,TRUE,"Only black faces","female",57,13,4.5,703,0.92,FALSE,433,1,1,1,0,FALSE,1,"Race IAT","congruent","ratings first"
220,TRUE,"Only black faces","female",30,17,4,610,0.93,FALSE,595,0.4,0.38,0.42,0.04,FALSE,4,"Race IAT","incongruent","SCIAT first"
221,TRUE,"Only black faces","male",45,21,3.83,918,0.98,FALSE,402,0.87,0.78,0.96,0.18,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
222,TRUE,"I don't know","male",27,23,4,649,0.89,FALSE,499,0.44,0.44,0.44,0,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
224,TRUE,"I don't know","male",58,20,5,887,1,FALSE,772,0.6,0.58,0.62,0.04,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
226,TRUE,"Only black faces","female",55,19,6,879,0.96,FALSE,559,0.93,0.9,0.96,0.0599999999999999,FALSE,2,"Race IAT","incongruent","ratings first"
