"participant","amp_recognition_response","condition","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","exclude"
77,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",57,18,854,0.98,FALSE,400,0.86,FALSE
78,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",49,17,574,0.93,FALSE,169,0.52,FALSE
79,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",40,28,722,0.97,FALSE,264,0.47,FALSE
80,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",61,21,680,1,FALSE,735,0.49,FALSE
83,"Only black faces",3,"Race IAT","congruent","SCIAT first","male",22,22,1056,0.97,FALSE,329,0.57,FALSE
86,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",53,13,870,0.91,FALSE,477,0.71,FALSE
87,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",39,11,740,0.97,FALSE,554,0.98,FALSE
89,"Only black faces",1,"Race IAT","congruent","ratings first","male",49,14,829,0.9,FALSE,676,1,FALSE
94,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",41,11,667,0.96,FALSE,643,0.66,FALSE
96,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",29,16,813,0.91,FALSE,358,1,FALSE
97,"Only black faces",1,"Race IAT","congruent","ratings first","male",56,16,1169,1,FALSE,578,0.99,FALSE
98,"Only black faces",2,"Race IAT","incongruent","ratings first","male",37,17,980,0.98,FALSE,741,0.63,FALSE
100,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",37,19,726,0.97,FALSE,787,0.56,FALSE
102,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",38,22,889,0.95,FALSE,177,0.72,FALSE
104,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",28,26,887,1,FALSE,524,0.02,FALSE
107,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",25,13,768,0.97,FALSE,696,0.67,FALSE
108,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",62,17,963,0.99,FALSE,418,0.75,FALSE
111,"Both white and black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","male",41,13,964,0.98,FALSE,335,0.57,FALSE
116,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","male",35,23,916,0.88,FALSE,666,0.68,FALSE
120,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",27,17,798,0.86,FALSE,685,0.47,FALSE
121,"Both white and black faces",1,"Race IAT","congruent","ratings first","male",22,19,905,0.81,FALSE,133,0.67,FALSE
123,"Both white and black faces",3,"Race IAT","congruent","SCIAT first","female",28,21,1621,0.87,FALSE,578,0.49,FALSE
124,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",22,15,762,0.86,FALSE,664,0.58,FALSE
125,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",41,22,954,0.89,FALSE,550,0.46,FALSE
127,"I don't know",7,"Flowers-Insects IAT","congruent","SCIAT first","female",27,20,737,0.97,FALSE,601,0.69,FALSE
128,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",21,18,635,0.91,FALSE,445,0.52,FALSE
136,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",32,27,804,0.95,FALSE,235,1,FALSE
137,"Both white and black faces",1,"Race IAT","congruent","ratings first","male",61,14,903,0.99,FALSE,663,0.6,FALSE
138,"Only black faces",2,"Race IAT","incongruent","ratings first","woman",22,13,860,0.96,FALSE,739,0.57,FALSE
139,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",37,15,923,0.95,FALSE,632,0.64,FALSE
140,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",37,18,686,0.94,FALSE,674,0.85,FALSE
147,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",54,16,1187,0.95,FALSE,320,0,FALSE
147,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",54,16,1187,0.95,FALSE,320,0,FALSE
150,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male",57,15,957,0.97,FALSE,492,0.32,FALSE
151,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",21,25,922,0.87,FALSE,574,0.55,FALSE
152,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",22,20,688,0.9,FALSE,846,0.52,FALSE
154,"Only black faces",2,"Race IAT","incongruent","ratings first","male",28,22,1167,0.99,FALSE,830,0.56,FALSE
156,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",45,13,1081,0.97,FALSE,692,0.56,FALSE
157,"Both white and black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",21,16,764,0.93,FALSE,350,0.99,FALSE
159,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",51,14,813,0.98,FALSE,681,0.4,FALSE
162,"Only black faces",2,"Race IAT","incongruent","ratings first","male",29,11,648,1,FALSE,518,0.63,FALSE
163,"Only black faces",3,"Race IAT","congruent","SCIAT first","male",38,16,980,0.9,FALSE,376,0.61,FALSE
165,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",31,13,874,0.98,FALSE,601,0.79,FALSE
173,"I don't know",5,"Flowers-Insects IAT","congruent","ratings first","female",48,19,640,0.96,FALSE,832,0.81,FALSE
175,"I don't know",7,"Flowers-Insects IAT","congruent","SCIAT first","male",35,16,655,0.98,FALSE,689,0.48,FALSE
176,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,21,782,0.97,FALSE,666,0.52,FALSE
179,"Only black faces",3,"Race IAT","congruent","SCIAT first","female",48,26,745,0.98,FALSE,567,0.37,FALSE
180,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","male",32,14,804,0.83,FALSE,180,0.5,FALSE
181,"I don't know",5,"Flowers-Insects IAT","congruent","ratings first","female",44,12,1336,0.99,FALSE,642,0.81,FALSE
185,"Only black faces",1,"Race IAT","congruent","ratings first","female",34,20,895,0.92,FALSE,581,0.87,FALSE
188,"Only black faces",4,"Race IAT","incongruent","SCIAT first","female",39,12,714,1,FALSE,427,0.87,FALSE
193,"Both white and black faces",1,"Race IAT","congruent","ratings first","male",53,20,769,1,FALSE,656,0.73,FALSE
194,"Only black faces",2,"Race IAT","incongruent","ratings first","male",48,24,708,0.99,FALSE,513,0.84,FALSE
196,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",27,18,807,0.97,FALSE,372,0.98,FALSE
197,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",53,12,880,0.98,FALSE,831,0.68,FALSE
199,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",44,17,938,0.97,FALSE,450,0.54,FALSE
201,"Only black faces",1,"Race IAT","congruent","ratings first","male",18,15,996,0.87,FALSE,423,0.73,FALSE
204,"I don't know",4,"Race IAT","incongruent","SCIAT first","male",61,30,776,0.95,FALSE,613,0.43,FALSE
208,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",35,20,682,0.93,FALSE,839,0.63,FALSE
210,"Both white and black faces",2,"Race IAT","incongruent","ratings first","male",22,14,910,0.98,FALSE,530,0.88,FALSE
212,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",40,12,767,0.84,FALSE,385,0.94,FALSE
214,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","male ",29,17,705,0.94,FALSE,578,0.6,FALSE
